municipio,atracao,caminho
Acaiaca,"Estação Ferroviária","Caminho dos Diamantes"
Alvinópolis,"Igreja Matriz de Nossa Senhora do Rosário","Caminho dos Diamantes"
"Alvorada de Minas","Cachoeira da Campina","Caminho dos Diamantes"
"Alvorada de Minas","Igreja Matriz Santo Antônio","Caminho dos Diamantes"
"Alvorada de Minas","Mirante da Escadinha","Caminho dos Diamantes"
"Barão de Cocais","Cachoeira Cocais","Caminho dos Diamantes"
"Barão de Cocais","Cachoeira da Cambota","Caminho dos Diamantes"
"Barão de Cocais","Cruzeiro das Almas","Caminho dos Diamantes"
"Barão de Cocais","Santuário de São João Batista","Caminho dos Diamantes"
"Bela Vista de Minas","Cachoeira do Taquaril","Caminho dos Diamantes"
"Bom Jesus do Amparo","Igreja Matriz Bom Jesus do Amparo","Caminho dos Diamantes"
"Catas Altas","Aqueduto Bicame de Pedra","Caminho dos Diamantes"
"Catas Altas","Banho do Belchior","Caminho dos Diamantes"
"Catas Altas","Capela Santa Quitéria","Caminho dos Diamantes"
"Catas Altas","Caraça Bier Fest - Catas Altas","Caminho dos Diamantes"
"Catas Altas","Igreja de Nossa Senhora do Rosário","Caminho dos Diamantes"
"Catas Altas","Igreja Matriz de Nossa Senhora da Conceição","Caminho dos Diamantes"
"Catas Altas","Pico de Catas Altas","Caminho dos Diamantes"
"Catas Altas","Pico do Baiano","Caminho dos Diamantes"
Cocais,"Fazenda da Estalagem","Caminho do Sabarabuçu"
Cocais,"Fazenda da Estalagem","Caminho dos Diamantes"
Cocais,"Igreja de Nossa Senhora do Rosário","Caminho do Sabarabuçu"
Cocais,"Igreja de Nossa Senhora do Rosário","Caminho dos Diamantes"
Cocais,"Igreja de Sant'Anna","Caminho do Sabarabuçu"
Cocais,"Igreja de Sant'Anna","Caminho dos Diamantes"
Cocais,"Sitio Arqueológico Pedra Pintada","Caminho do Sabarabuçu"
Cocais,"Sitio Arqueológico Pedra Pintada","Caminho dos Diamantes"
Cocais,"Sobrado do Cartório","Caminho do Sabarabuçu"
Cocais,"Sobrado do Cartório","Caminho dos Diamantes"
"Conceição do Mato Dentro","Balneário Córrego do Baú","Caminho dos Diamantes"
"Conceição do Mato Dentro","Balneário  Piscina de Água Quente","Caminho dos Diamantes"
"Conceição do Mato Dentro","Cachoeira do Tabuleiro","Caminho dos Diamantes"
"Conceição do Mato Dentro","Cachoeira Rabo de Cavalo","Caminho dos Diamantes"
"Conceição do Mato Dentro","Cachoeira Três Barras","Caminho dos Diamantes"
"Conceição do Mato Dentro","Fubá Suado - Conceição do Mato Dentro","Caminho dos Diamantes"
"Conceição do Mato Dentro","Igreja Matriz de Nossa Senhora da Aparecida","Caminho dos Diamantes"
"Conceição do Mato Dentro","Igreja Matriz de Nossa Senhora da Conceição","Caminho dos Diamantes"
"Congonhas do Norte","Cachoeira da Barragem (do Levi)","Caminho dos Diamantes"
"Couto de Magalhães de Minas","Água Santa","Caminho dos Diamantes"
"Couto de Magalhães de Minas","Cachoeira da Fábrica","Caminho dos Diamantes"
"Couto de Magalhães de Minas","Cachoeira dos Vaqueiros","Caminho dos Diamantes"
"Couto de Magalhães de Minas","Cachoeira do Tomé","Caminho dos Diamantes"
"Couto de Magalhães de Minas","Capela Senhor de Bom Jesus de Matozinhos","Caminho dos Diamantes"
"Couto de Magalhães de Minas","Igreja Nossa Senhora da Conceição","Caminho dos Diamantes"
"Couto de Magalhães de Minas","Pinturas Rupestres","Caminho dos Diamantes"
Datas,"Igreja Matriz do Divino Espírito Santo","Caminho dos Diamantes"
Datas,"Lapa Pintada","Caminho dos Diamantes"
Datas,"Morango - Datas","Caminho dos Diamantes"
Diamantina,"Cachoeira das Fadas","Caminho dos Diamantes"
Diamantina,"Cachoeira da Toca","Caminho dos Diamantes"
Diamantina,"Cachoeira dos Cristais","Caminho dos Diamantes"
Diamantina,"Cachoeira dos Remédios","Caminho dos Diamantes"
Diamantina,"Cachoeira do Telésforo","Caminho dos Diamantes"
Diamantina,"Caminho dos Escravos","Caminho dos Diamantes"
Diamantina,"Capela Imperial de Nossa Senhora do Amparo","Caminho dos Diamantes"
Diamantina,"Casa da Chica da Silva","Caminho dos Diamantes"
"Dom Joaquim","APA Gameleira","Caminho dos Diamantes"
"Dom Joaquim","Complexo Turístico da Barragem","Caminho dos Diamantes"
"Dores de Guanhães","Cachoeira da Guarda","Caminho dos Diamantes"
"Dores de Guanhães","Cachoeira do Sabiá","Caminho dos Diamantes"
"Felício dos Santos","Cachoeira do Palmito","Caminho dos Diamantes"
"Felício dos Santos","Igreja Dona Izabel","Caminho dos Diamantes"
"Felício dos Santos","Igreja Sagrado Coração de Jesus","Caminho dos Diamantes"
"Felício dos Santos","Lajeado do Noronha","Caminho dos Diamantes"
Gouveia,"Ampar Barão Capivara","Caminho dos Diamantes"
Gouveia,"Cachoeira Capivara","Caminho dos Diamantes"
Gouveia,"Cachoeira do Cuiabá","Caminho dos Diamantes"
Gouveia,"Cachoeira Engenho","Caminho dos Diamantes"
Gouveia,"Igreja Matriz de Santo Antônio","Caminho dos Diamantes"
Gouveia,"Igreja Nossa Senhora das Dores","Caminho dos Diamantes"
Gouveia,"Rio Capivara","Caminho dos Diamantes"
Gouveia,"Serra do Pasmarra","Caminho dos Diamantes"
Guanhães,"Casa de Cultura Laet Berto","Caminho dos Diamantes"
Guanhães,"Igreja Matriz de São Miguel e Almas","Caminho dos Diamantes"
Guanhães,"Parque Estadual Serra da Candonga","Caminho dos Diamantes"
Ipoema,"Cachoeira Alta","Caminho dos Diamantes"
Ipoema,"Cachoeira do Meio","Caminho dos Diamantes"
Ipoema,"Cachoeira do Patrocínio Amaro","Caminho dos Diamantes"
Ipoema,"Igreja de Nossa Senhora da Conceição","Caminho dos Diamantes"
Ipoema,"Mirante Morro Redondo","Caminho dos Diamantes"
Ipoema,"Museu do Tropeiro - Ipoema","Caminho dos Diamantes"
Ipoema,"Parque Estadual Mata do Limoeiro","Caminho dos Diamantes"
Itabira,"Capela de São José","Caminho dos Diamantes"
Itabira,"Igreja Nossa Senhora do Rosário dos Pretos","Caminho dos Diamantes"
Itabira,"Memorial Carlos Drummond de Andrade","Caminho dos Diamantes"
Itabira,"Pico do Amor","Caminho dos Diamantes"
Itabira,"Reserva da Biosfera da Serra do Espinhaço","Caminho dos Diamantes"
"Itambé do Mato Dentro","Cachoeira das Crioulas","Caminho dos Diamantes"
"Itambé do Mato Dentro","Cachoeira da Serenata","Caminho dos Diamantes"
"Itambé do Mato Dentro","Cachoeira da Vitória","Caminho dos Diamantes"
"Itambé do Mato Dentro","Cachoeira do Funil","Caminho dos Diamantes"
"Itambé do Mato Dentro","Cachoeira do Lúcio","Caminho dos Diamantes"
"Itambé do Mato Dentro","Cânion da Serenata","Caminho dos Diamantes"
"Itambé do Mato Dentro","Festival da Banana - Itambé do Mato Dentro","Caminho dos Diamantes"
"Itambé do Mato Dentro","Igreja Matriz Nossa Senhora das Oliveiras","Caminho dos Diamantes"
Jaboticatubas,"Cachoeira do Sr. Dimas","Caminho dos Diamantes"
Jaboticatubas,"Fazenda do Cipó","Caminho dos Diamantes"
Jaboticatubas,"Igreja Matriz Nossa Senhora da Conceição","Caminho dos Diamantes"
Jaboticatubas,"Igreja Matriz Nossa Senhora do Rosário","Caminho dos Diamantes"
Jaboticatubas,"Pequi - Jaboticatubas","Caminho dos Diamantes"
Jaboticatubas,"Serra do Bené","Caminho dos Diamantes"
"Lagoa Santa","Gruta da Lapinha","Caminho dos Diamantes"
"Lagoa Santa","Lagoa do Sumidouro","Caminho dos Diamantes"
"Lapinha da Serra","Vale do Soberbo","Caminho dos Diamantes"
Mariana,"Cachoeira do Brumado","Caminho dos Diamantes"
Mariana,"Cachoeira Matadouro","Caminho dos Diamantes"
Mariana,"Capela de Sant'Anna","Caminho dos Diamantes"
Mariana,"Catedral da Sé","Caminho dos Diamantes"
Mariana,"Estação Ferroviária","Caminho dos Diamantes"
Mariana,"Igreja Nossa Senhora da Boa Morte","Caminho dos Diamantes"
Mariana,"Igreja Nossa Senhora das Mercês","Caminho dos Diamantes"
Mariana,"Igreja Nossa Senhora do Carmo","Caminho dos Diamantes"
"Milho Verde","Cachoeira do Carijó","Caminho dos Diamantes"
"Milho Verde","Cachoeira do Moinho","Caminho dos Diamantes"
"Milho Verde","Chafariz da Goiabeira","Caminho dos Diamantes"
"Milho Verde","Igreja do Rosário","Caminho dos Diamantes"
"Milho Verde","Rio Jequitinhonha","Caminho dos Diamantes"
Monjolos,"Cachoeira do Bueno","Caminho dos Diamantes"
"Morro do Pilar","Cachoeira das Pedras","Caminho dos Diamantes"
"Morro do Pilar","Cachoeira do Lageado","Caminho dos Diamantes"
"Morro do Pilar","Cachoeira do Pica Pau","Caminho dos Diamantes"
"Morro do Pilar","Cachoeira do Tombo","Caminho dos Diamantes"
"Morro do Pilar","Igreja do Canga","Caminho dos Diamantes"
"Morro do Pilar","Monumento Intendente Câmara","Caminho dos Diamantes"
"Morro do Pilar","Óleo de Indaiá - Morro do Pilar","Caminho dos Diamantes"
"Morro do Pilar","Quintais e Quitandas - Morro do Pilar","Caminho dos Diamantes"
"Ouro Preto","Cachaças - Ouro Preto","Caminho Velho"
"Ouro Preto","Cachaças - Ouro Preto","Caminho Novo"
"Ouro Preto","Cachaças - Ouro Preto","Caminho dos Diamantes"
"Ouro Preto","Capela de Nossa Senhora da Piedade","Caminho Velho"
"Ouro Preto","Capela de Nossa Senhora da Piedade","Caminho Novo"
"Ouro Preto","Capela de Nossa Senhora da Piedade","Caminho dos Diamantes"
"Ouro Preto","Capela de Nossa Senhora das Dores do Monte Calvário","Caminho Velho"
"Ouro Preto","Capela de Nossa Senhora das Dores do Monte Calvário","Caminho Novo"
"Ouro Preto","Capela de Nossa Senhora das Dores do Monte Calvário","Caminho dos Diamantes"
"Ouro Preto","Capela de Santana","Caminho Velho"
"Ouro Preto","Capela de Santana","Caminho Novo"
"Ouro Preto","Capela de Santana","Caminho dos Diamantes"
"Ouro Preto","Capela de São João Batista","Caminho Velho"
"Ouro Preto","Capela de São João Batista","Caminho Novo"
"Ouro Preto","Capela de São João Batista","Caminho dos Diamantes"
"Ouro Preto","Casa da Câmara","Caminho Velho"
"Ouro Preto","Casa da Câmara","Caminho Novo"
"Ouro Preto","Casa da Câmara","Caminho dos Diamantes"
"Ouro Preto","Casa de Thomaz Antônio Gonzaga","Caminho Velho"
