municipio,estado,habitantes,gastronomico,cultural,religioso,ecoturismo,cod_caminho
Acaiaca,MG,3.924,1,1,1,1,01
Alvinópolis,MG,15.212,0,0,0,1,01
"Alvorada de Minas",MG,3.548,1,1,0,1,01
"Barão de Cocais",MG,28.432,0,1,0,1,01
"Barra Longa",MG,5.250,1,1,1,1,01
"Bela Vista de Minas",MG,10.012,0,0,0,1,01
"Bento Rodrigues",MG,0,0,0,0,1,01
"Bom Jesus do Amparo",MG,5.495,0,1,1,1,01
Camargos,MG,0,0,1,1,1,01
Carmésia,MG,0,0,0,1,1,01
"Catas Altas",MG,5.512,0,1,1,1,01
Cocais,MG,0,0,1,1,1,01
Cocais,MG,0,0,1,1,1,01
"Conceição do Mato Dentro",MG,18.273,1,1,1,1,01
"Congonhas do Norte",MG,4.943,0,1,1,1,01
Corregos,MG,0,1,1,1,1,01
"Couto de Magalhães de Minas",MG,4.204,0,1,1,1,01
Datas,MG,5.237,0,1,1,1,01
Diamantina,MG,47.647,0,1,1,1,01
"Dom Joaquim",MG,4.535,0,0,0,1,01
"Dores de Guanhães",MG,5.223,0,0,1,1,01
"Felício dos Santos",MG,5.137,0,1,1,1,01
Ferros,MG,0,0,0,1,1,01
Gouveia,MG,12.030,0,1,1,1,01
Guanhães,MG,31.266,1,1,0,1,01
Ipoema,MG,2.746,0,1,0,1,01
Itabira,MG,116.745,0,1,1,1,01
"Itambé do Mato Dentro",MG,2.283,0,0,0,1,01
Itapanhoacanga,MG,0,0,0,1,1,01
Jaboticatubas,MG,17.119,0,1,1,1,01
"João Monlevade",MG,0,1,1,1,1,01
"Lagoa Santa",MG,52.526,0,1,0,1,01
"Lapinha da Serra",MG,0,0,0,1,1,01
Mariana,MG,58.233,0,1,1,1,01
"Milho Verde",MG,1.275,1,1,1,1,01
Monjolos,MG,2.360,0,0,0,1,01
"Morro D´Agua Quente",MG,0,0,0,1,1,01
"Morro do Pilar",MG,3.399,0,0,0,1,01
"Nova União",MG,0,0,0,0,1,01
"Ouro Preto",MG,70.281,1,1,1,1,01
"Ouro Preto",MG,70.281,1,1,1,1,01
"Ouro Preto",MG,70.281,1,1,1,1,01
Passabém,MG,1.766,0,0,0,1,01
"Ponte Nova",MG,57.361,0,0,1,1,01
"Presidente Kubitschek",MG,3.053,0,1,1,1,01
"Rio Piracicaba",MG,0,0,1,0,1,01
Sabinópolis,MG,15.707,0,0,1,1,01
"Santa Bárbara",MG,27.876,1,1,1,1,01
"Santa Luzia",MG,214.830,1,1,1,1,01
"Santa Maria de Itabira",MG,0,1,0,1,1,01
"Santana de Pirapama",MG,8.004,0,0,1,1,01
"Santa Rita Durão",MG,0,0,1,0,1,01
"Santo Antônio do Itambé",MG,4.135,0,1,1,1,01
"Santo Antônio do Norte (Tapera)",MG,0,0,1,1,1,01
"Santo Antônio do Rio Abaixo",MG,1.777,0,0,1,1,01
"Santo Hipólito",MG,3.541,0,0,1,1,01
"São Gonçalo do Rio Abaixo",MG,9.782,0,0,1,1,01
"São Gonçalo do Rio das Pedras",MG,0,0,0,0,1,01
"São Gonçalo do Rio Preto",MG,3.039,0,0,1,1,01
"São Sebastião do Rio Preto",MG,1.616,0,0,0,1,01
"Senhora do Carmo",MG,0,1,0,1,1,01
"Senhora do Porto",MG,3.493,0,0,1,1,01
"Serra Azul de Minas",MG,4.220,0,1,0,1,01
"Serra do Cipó - Santana do Riacho",MG,0,1,1,0,1,01
Serro,MG,21.419,1,1,0,1,01
