municipio,hotel,cod_caminho
"Barão de Cocais","Impar Suites Barao de Cocais",01
"Barão de Cocais","ESTÂNCIA JARDIM SECRETO",01
"Barão de Cocais","Pousada das Nascentes",01
"Barão de Cocais","Hotel pousada & Eventos Cassino",01
"Barão de Cocais","Hotel Real de Caeté",01
"Barão de Cocais","Pousada e Restaurante Victórios",01
"Catas Altas","Pousada das Nascentes",01
"Catas Altas","ESTÂNCIA JARDIM SECRETO",01
"Catas Altas","Impar Suites Barao de Cocais",01
"Conceição do Mato Dentro","Fazenda do Barro CMD Maravilhosa Casa de Fazenda",01
Diamantina,"Hotel Montanhas de Minas",01
Diamantina,"Pousada Acayaca",01
Diamantina,"POUSADA FLOR DE LIS",01
Diamantina,"Hotel conexão",01
Diamantina,"Pousada Gameleira",01
Diamantina,"Casa Candeia",01
Diamantina,"Diamantina Hostel",01
Diamantina,"POUSADA CAPIM LIMÃO",01
Diamantina,"APARTAMENTOS ALTOS DA GRUPIARA - DIAMANTINA/MG",01
Diamantina,"Casa Diamantina",01
Diamantina,"POUSADA VILA DO BIRIBIRI",01
Diamantina,"Pousada Villa Magna - Chalé Família",01
Diamantina,"Pousada Dona Dazinha",01
Diamantina,"Pousada Caminho Dos Escravos",01
Diamantina,"Chalé Maquemba Eco",01
Diamantina,"Pousada Do Pequi",01
Diamantina,"Casa Aconchego do Sol",01
Gouveia,"Madre De Água Hotel Rural de Charme",01
Gouveia,"Casa Pelourinho",01
Gouveia,"Casa do Adro",01
Gouveia,"Governo's House",01
Gouveia,"Casas do Cruzeiro",01
Gouveia,"Casas do patrao I",01
Gouveia,"One bedroom appartement at Seia 200 m away from the beach with wifi",01
Gouveia,"One bedroom appartement at Seia 200 m away from the beach with furnished terrace and wifi",01
Gouveia,"2 bedrooms appartement at Seia 200 m away from the beach with furnished terrace and wifi",01
Gouveia,"Casas do Patrao II",01
Gouveia,"2 bedrooms house with furnished terrace and wifi at Fornos de Algodres 2 km away from the beach",01
Gouveia,"2 bedrooms appartement at Seia 200 m away from the beach with furnished terrace and wifi",01
Gouveia,"2 bedrooms house with city view balcony and wifi at Manteigas 7 km away from the slopes",01
Gouveia,"Retiro da Lameira",01
Gouveia,"Casa chão grande",01
Gouveia,"Casa Origens",01
Gouveia,"Casa chão grande",01
Gouveia,"Nature Scape",01
Gouveia,"Casa das Bonecas",01
Gouveia,"CASA DO PENEDO - Um Segredo na Serra da Estrela",01
Gouveia,"Seia Guest House",01
Gouveia,Seihome,01
Gouveia,seiaalojamentos,01
Gouveia,"Apartamento Vista Seia",01
Gouveia,"6 bedrooms villa with private pool terrace and wifi at Mogadouro",01
Guanhães,"Xikus Palace Hotel",01
Guanhães,"Caravelle Hotel",01
Ipoema,"Casa Branca da Serra",01
Ipoema,"Recanto Cristal da Serra - Serra dos Alves",01
Ipoema,"IT Itabira Hotel",01
Itabira,"IT Itabira Hotel",01
Itabira,"Recanto Cristal da Serra - Serra dos Alves",01
Jaboticatubas,"Pousada Várzea da Serra",01
Jaboticatubas,"Bistrô Pousada Savacipó",01
Jaboticatubas,"Sítio de 110.000 m2 com piscina na Serra do Cipó.",01
Jaboticatubas,"Chácara Jardim Cipó",01
Jaboticatubas,"Pousada Caminho",01
Jaboticatubas,"Das Marias Hostel",01
Jaboticatubas,"Lagoon Prime Hotel",01
Jaboticatubas,"eSuites Spa Lagoa Santa",01
Jaboticatubas,"Vila Flores Pousada",01
Jaboticatubas,"VOA Business Supreme Choice Confins",01
"Lagoa Santa","VOA Business Supreme Choice Confins",01
"Lagoa Santa","Lagoon Prime Hotel",01
"Lagoa Santa","eSuites Spa Lagoa Santa",01
"Lagoa Santa","ibis Styles Confins Aeroporto",01
"Lagoa Santa","Das Marias Hostel",01
"Lagoa Santa","Hotel Ouro Verde",01
"Lagoa Santa","Sítio de 110.000 m2 com piscina na Serra do Cipó.",01
"Lagoa Santa","Pousada Cantim de BH",01
"Lagoa Santa","Hostel Jussa",01
"Lagoa Santa","CHA Pampulha Design Hotel",01
"Lagoa Santa","Hotel Pousada Avelar",01
Mariana,"Pousada Contos de Minas",01
Mariana,"Hotel Brasil Real",01
Mariana,"Chalé Cartuxa Park",01
Mariana,"Trilhas de Minas Hostel Camping",01
Mariana,"Hospedaria Vila Rica",01
Mariana,"Hotel Recanto da Serra",01
Mariana,"Aconchego Mineiro",01
Mariana,"Chalé Céu e Terra",01
Mariana,"Pousada Fonte Viva",01
"Milho Verde","Pousada Luar do Rosário",01
"Milho Verde","Pousada Sempre Viva",01
"Milho Verde","casa bela vista",01
"Milho Verde","Casa amarela",01
"Milho Verde","Casa Completa Milho Verde",01
"Milho Verde","Pousada Do Pequi",01
"Milho Verde","Casa Aconchego do Sol",01
"Ouro Preto","Hotel Recanto da Serra",03
