cod_micro,cod_municipio,municipio
mi1,c1,Arinos
mi1,c2,"Bonfinópolis de Minas"
mi1,c3,Buritis
mi1,c4,"Cabeceira Grande"
mi1,c5,"Dom Bosco"
mi1,c6,Formoso
mi1,c7,Natalândia
mi1,c8,Unaí
mi1,c9,"Uruana de Minas"
mi2,c10,"Brasilândia de Minas"
mi2,c11,Guarda-Mor
mi2,c12,"João Pinheiro"
mi2,c13,Lagamar
mi2,c14,"Lagoa Grande"
mi2,c15,Paracatu
mi2,c16,"Presidente Olegário"
mi2,c17,"São Gonçalo do Abaeté"
mi2,c18,"Varjão de Minas"
mi2,c19,Vazante
mi3,c20,"Bonito de Minas"
mi3,c21,"Chapada Gaúcha"
mi3,c22,"Cônego Marinho"
mi3,c23,"Icaraí de Minas"
mi3,c24,Itacarambi
mi3,c25,Januária
mi3,c26,Juvenília
mi3,c27,Manga
mi3,c28,"Matias Cardoso"
mi3,c29,Miravânia
mi3,c30,Montalvânia
mi3,c31,"Pedras de Maria da Cruz"
mi3,c32,Pintópolis
mi3,c33,"São Francisco"
mi3,c34,"São João das Missões"
mi3,c35,Urucuia
mi4,c36,Catuti
mi4,c37,Espinosa
mi4,c38,Gameleiras
mi4,c39,Jaíba
mi4,c40,Janaúba
mi4,c41,Mamonas
mi4,c42,"Mato Verde"
mi4,c43,"Monte Azul"
mi4,c44,"Nova Porteirinha"
mi4,c45,"Pai Pedro"
mi4,c46,Porteirinha
mi4,c47,"Riacho dos Machados"
mi4,c48,"Serranópolis de Minas"
mi5,c49,"Águas Vermelhas"
mi5,c50,Berizal
mi5,c51,"Curral de Dentro"
mi5,c52,"Divisa Alegre"
mi5,c53,"Fruta de Leite"
mi5,c54,Indaiabira
mi5,c55,Montezuma
mi5,c56,Ninheira
mi5,c57,Novorizonte
mi5,c58,"Rio Pardo de Minas"
mi5,c59,Rubelita
mi5,c60,Salinas
mi5,c61,"Santa Cruz de Salinas"
mi5,c62,"Santo Antônio do Retiro"
mi5,c63,"São João do Paraíso"
mi5,c64,Taiobeiras
mi5,c65,"Vargem Grande do Rio Pardo"
mi6,c66,Buritizeiro
mi6,c67,Ibiaí
mi6,c68,Jequitaí
mi6,c69,"Lagoa dos Patos"
mi6,c70,Lassance
mi6,c71,Pirapora
mi6,c72,Riachinho
mi6,c73,"Santa Fé de Minas"
mi6,c74,"São Romão"
mi6,c75,"Várzea da Palma"
mi7,c76,"Brasília de Minas"
mi7,c77,"Campo Azul"
mi7,c78,"Capitão Enéas"
mi7,c79,"Claro dos Poções"
mi7,c80,"Coração de Jesus"
mi7,c81,"Francisco Sá"
mi7,c82,Glaucilândia
mi7,c83,Ibiracatu
mi7,c84,Japonvar
mi7,c85,Juramento
mi7,c86,Lontra
mi7,c87,Luislândia
mi7,c88,Mirabela
mi7,c89,"Montes Claros"
mi7,c90,Patis
mi7,c91,"Ponto Chique"
mi7,c92,"São João da Lagoa"
mi7,c93,"São João da Ponte"
mi7,c94,"São João do Pacuí"
mi7,c95,Ubaí
mi7,c96,Varzelândia
mi7,c97,Verdelândia
mi8,c98,Botumirim
mi8,c99,Cristália
mi8,c100,"Grão Mogol"
mi8,c101,Itacambira
mi8,c102,Josenópolis
mi8,c103,"Padre Carvalho"
mi9,c104,Bocaiuva
mi9,c105,"Engenheiro Navarro"
mi9,c106,"Francisco Dumont"
mi9,c107,Guaraciama
mi9,c108,Olhos-d'Água
mi10,c109,"Couto de Magalhães de Minas"
mi10,c110,Datas
mi10,c111,Diamantina
mi10,c112,"Felício dos Santos"
mi10,c113,Gouveia
mi10,c114,"Presidente Kubitschek"
mi10,c115,"São Gonçalo do Rio Preto"
mi10,c116,"Senador Modestino Gonçalves"
mi11,c117,Angelândia
mi11,c118,Aricanduva
mi11,c119,Berilo
mi11,c120,Capelinha
mi11,c121,Carbonita
mi11,c122,"Chapada do Norte"
mi11,c123,"Francisco Badaró"
mi11,c124,Itamarandiba
mi11,c125,"Jenipapo de Minas"
mi11,c126,"José Gonçalves de Minas"
mi11,c127,"Leme do Prado"
mi11,c128,"Minas Novas"
mi11,c129,Turmalina
mi11,c130,Veredinha
mi12,c131,Araçuaí
mi12,c132,Caraí
mi12,c133,"Coronel Murta"
mi12,c134,Itinga
mi12,c135,"Novo Cruzeiro"
mi12,c136,"Padre Paraíso"
mi12,c137,"Ponto dos Volantes"
mi12,c138,"Virgem da Lapa"
mi13,c139,"Cachoeira de Pajeú"
mi13,c140,Comercinho
mi13,c141,Itaobim
mi13,c142,Medina
mi13,c143,"Pedra Azul"
mi14,c144,Almenara
mi14,c145,Bandeira
mi14,c146,Divisópolis
mi14,c147,Felisburgo
mi14,c148,Jacinto
mi14,c149,Jequitinhonha
mi14,c150,Joaíma
mi14,c151,Jordânia
mi14,c152,"Mata Verde"
mi14,c153,"Monte Formoso"
mi14,c154,Palmópolis
mi14,c155,"Rio do Prado"
mi14,c156,Rubim
mi14,c157,"Salto da Divisa"
mi14,c158,"Santa Maria do Salto"
mi14,c159,"Santo Antônio do Jacinto"
mi15,c160,Ataléia
mi15,c161,Catuji
mi15,c162,Franciscópolis
mi15,c163,"Frei Gaspar"
mi15,c164,Itaipé
mi15,c165,Ladainha
mi15,c166,Malacacheta
mi15,c167,"Novo Oriente de Minas"
mi15,c168,"Ouro Verde de Minas"
mi15,c169,Pavão
mi15,c170,Poté
mi15,c171,Setubinha
mi15,c172,"Teófilo Otoni"
mi16,c173,"Águas Formosas"
mi16,c174,Bertópolis
mi16,c175,"Carlos Chagas"
mi16,c176,Crisólita
mi16,c177,"Fronteira dos Vales"
mi16,c178,Machacalis
mi16,c179,Nanuque
mi16,c180,"Santa Helena de Minas"
mi16,c181,"Serra dos Aimorés"
mi16,c182,Umburatiba
mi17,c183,"Cachoeira Dourada"
mi17,c184,Capinópolis
mi17,c185,Gurinhatã
mi17,c186,Ipiaçu
mi17,c187,Ituiutaba
mi17,c188,"Santa Vitória"
mi18,c189,Araguari
mi18,c190,Araporã
mi18,c191,Canápolis
mi18,c192,"Cascalho Rico"
mi18,c193,Centralina
mi18,c194,Indianópolis
mi18,c195,"Monte Alegre de Minas"
mi18,c196,Prata
mi18,c197,Tupaciguara
mi18,c198,Uberlândia
mi19,c199,"Abadia dos Dourados"
mi19,c200,Coromandel
mi19,c201,"Cruzeiro da Fortaleza"
mi19,c202,Douradoquara
mi19,c203,"Estrela do Sul"
mi19,c204,Grupiara
mi19,c205,"Iraí de Minas"
mi19,c206,"Monte Carmelo"
mi19,c207,Patrocínio
mi19,c208,Romaria
mi19,c209,"Serra do Salitre"
mi20,c210,Arapuá
mi20,c211,"Carmo do Paranaíba"
mi20,c212,Guimarânia
mi20,c213,"Lagoa Formosa"
mi20,c214,Matutina
mi20,c215,"Patos de Minas"
mi20,c216,"Rio Paranaíba"
mi20,c217,"Santa Rosa da Serra"
mi20,c218,"São Gotardo"
mi20,c219,Tiros
mi21,c220,"Campina Verde"
mi21,c221,Carneirinho
mi21,c222,"Comendador Gomes"
mi21,c223,Fronteira
mi21,c224,Frutal
mi21,c225,Itapagipe
mi21,c226,Iturama
mi21,c227,"Limeira do Oeste"
mi21,c228,Pirajuba
mi21,c229,Planura
mi21,c230,"São Francisco de Sales"
mi21,c231,"União de Minas"
mi22,c232,"Água Comprida"
mi22,c233,"Campo Florido"
mi22,c234,"Conceição das Alagoas"
mi22,c235,Conquista
mi22,c236,Delta
mi22,c237,Uberaba
mi22,c238,Veríssimo
mi23,c239,Araxá
mi23,c240,"Campos Altos"
mi23,c241,Ibiá
mi23,c242,"Nova Ponte"
mi23,c243,Pedrinópolis
mi23,c244,Perdizes
mi23,c245,Pratinha
mi23,c246,Sacramento
mi23,c247,"Santa Juliana"
mi23,c248,Tapira
mi24,c249,Abaeté
mi24,c250,Biquinhas
mi24,c251,"Cedro do Abaeté"
mi24,c252,"Morada Nova de Minas"
mi24,c253,Paineiras
mi24,c254,Pompéu
mi24,c255,"Três Marias"
mi25,c256,"Augusto de Lima"
mi25,c257,Buenópolis
mi25,c258,Corinto
mi25,c259,Curvelo
mi25,c260,Felixlândia
mi25,c261,Inimutaba
mi25,c262,"Joaquim Felício"
mi25,c263,Monjolos
mi25,c264,"Morro da Garça"
mi25,c265,"Presidente Juscelino"
mi25,c266,"Santo Hipólito"
mi26,c267,Araújos
mi26,c268,"Bom Despacho"
mi26,c269,"Dores do Indaiá"
mi26,c270,"Estrela do Indaiá"
mi26,c271,Japaraíba
mi26,c272,"Lagoa da Prata"
mi26,c273,"Leandro Ferreira"
mi26,c274,Luz
mi26,c275,"Martinho Campos"
mi26,c276,Moema
mi26,c277,"Quartel Geral"
mi26,c278,"Serra da Saudade"
mi27,c279,Araçaí
mi27,c280,Baldim
mi27,c281,"Cachoeira da Prata"
mi27,c282,Caetanópolis
mi27,c283,"Capim Branco"
mi27,c284,Cordisburgo
mi27,c285,"Fortuna de Minas"
mi27,c286,Funilândia
mi27,c287,Inhaúma
mi27,c288,Jaboticatubas
mi27,c289,Jequitibá
mi27,c290,Maravilhas
mi27,c291,Matozinhos
mi27,c292,Papagaios
mi27,c293,Paraopeba
mi27,c294,Pequi
mi27,c295,"Prudente de Morais"
mi27,c296,"Santana de Pirapama"
mi27,c297,"Santana do Riacho"
mi27,c298,"Sete Lagoas"
mi28,c299,"Alvorada de Minas"
mi28,c300,"Conceição do Mato Dentro"
mi28,c301,"Congonhas do Norte"
mi28,c302,"Dom Joaquim"
mi28,c303,"Itambé do Mato Dentro"
mi28,c304,"Morro do Pilar"
mi28,c305,Passabém
mi28,c306,"Rio Vermelho"
mi28,c307,"Santo Antônio do Itambé"
mi28,c308,"Santo Antônio do Rio Abaixo"
mi28,c309,"São Sebastião do Rio Preto"
mi28,c310,"Serra Azul de Minas"
mi28,c311,Serro
mi29,c312,Florestal
mi29,c313,"Onça de Pitangui"
mi29,c314,"Pará de Minas"
mi29,c315,Pitangui
mi29,c316,"São José da Varginha"
mi30,c317,"Belo Horizonte"
mi30,c318,Betim
mi30,c319,Brumadinho
mi30,c320,Caeté
mi30,c321,Confins
mi30,c322,Contagem
mi30,c323,Esmeraldas
mi30,c324,Ibirité
mi30,c325,Igarapé
mi30,c326,Juatuba
mi30,c327,"Lagoa Santa"
mi30,c328,"Mário Campos"
mi30,c329,"Mateus Leme"
mi30,c330,"Nova Lima"
mi30,c331,"Pedro Leopoldo"
mi30,c332,Raposos
mi30,c333,"Ribeirão das Neves"
mi30,c334,"Rio Acima"
mi30,c335,Sabará
mi30,c336,"Santa Luzia"
mi30,c337,"São Joaquim de Bicas"
mi30,c338,"São José da Lapa"
mi30,c339,Sarzedo
mi30,c340,Vespasiano
mi31,c341,Alvinópolis
mi31,c342,"Barão de Cocais"
mi31,c343,"Bela Vista de Minas"
mi31,c344,"Bom Jesus do Amparo"
mi31,c345,"Catas Altas"
mi31,c346,Dionísio
mi31,c347,Ferros
mi31,c348,Itabira
mi31,c349,"João Monlevade"
mi31,c350,"Nova Era"
mi31,c351,"Nova União"
mi31,c352,"Rio Piracicaba"
mi31,c353,"Santa Bárbara"
mi31,c354,"Santa Maria de Itabira"
mi31,c355,"São Domingos do Prata"
mi31,c356,"São Gonçalo do Rio Abaixo"
mi31,c357,"São José do Goiabal"
mi31,c358,"Taquaraçu de Minas"
mi32,c359,"Belo Vale"
mi32,c360,Bonfim
mi32,c361,Crucilândia
mi32,c362,Itaguara
mi32,c363,Itatiaiuçu
mi32,c364,Jeceaba
mi32,c365,Moeda
mi32,c366,"Piedade dos Gerais"
mi32,c367,"Rio Manso"
mi33,c368,"Diogo de Vasconcelos"
mi33,c369,Itabirito
mi33,c370,Mariana
mi33,c371,"Ouro Preto"
mi34,c372,"Casa Grande"
mi34,c373,"Catas Altas da Noruega"
mi34,c374,Congonhas
mi34,c375,"Conselheiro Lafaiete"
mi34,c376,"Cristiano Otoni"
mi34,c377,"Desterro de Entre Rios"
mi34,c378,"Entre Rios de Minas"
mi34,c379,Itaverava
mi34,c380,"Ouro Branco"
mi34,c381,Queluzito
mi34,c382,"Santana dos Montes"
mi34,c383,"São Brás do Suaçuí"
mi35,c384,Braúnas
mi35,c385,Carmésia
mi35,c386,Coluna
mi35,c387,"Divinolândia de Minas"
mi35,c388,"Dores de Guanhães"
mi35,c389,Gonzaga
mi35,c390,Guanhães
mi35,c391,Materlândia
mi35,c392,Paulistas
mi35,c393,Sabinópolis
mi35,c394,"Santa Efigênia de Minas"
mi35,c395,"São João Evangelista"
mi35,c396,Sardoá
mi35,c397,"Senhora do Porto"
mi35,c398,Virginópolis
mi36,c399,"Água Boa"
mi36,c400,Cantagalo
mi36,c401,"Frei Lagonegro"
mi36,c402,"José Raydan"
mi36,c403,Peçanha
mi36,c404,"Santa Maria do Suaçuí"
mi36,c405,"São José do Jacuri"
mi36,c406,"São Pedro do Suaçuí"
mi36,c407,"São Sebastião do Maranhão"
mi37,c408,Alpercata
mi37,c409,Campanário
mi37,c410,"Capitão Andrade"
mi37,c411,Coroaci
mi37,c412,"Divino das Laranjeiras"
mi37,c413,"Engenheiro Caldas"
mi37,c414,"Fernandes Tourinho"
mi37,c415,"Frei Inocêncio"
mi37,c416,Galileia
mi37,c417,"Governador Valadares"
mi37,c418,Itambacuri
mi37,c419,Itanhomi
mi37,c420,Jampruca
mi37,c421,Marilac
mi37,c422,"Mathias Lobato"
mi37,c423,"Nacip Raydan"
mi37,c424,"Nova Módica"
mi37,c425,Pescador
mi37,c426,"São Geraldo da Piedade"
mi37,c427,"São Geraldo do Baixio"
mi37,c428,"São José da Safira"
mi37,c429,"São José do Divino"
mi37,c430,Sobrália
mi37,c431,Tumiritinga
mi37,c432,Virgolândia
mi38,c433,"Central de Minas"
mi38,c434,Itabirinha
mi38,c435,Mantena
mi38,c436,"Mendes Pimentel"
mi38,c437,"Nova Belém"
mi38,c438,"São Félix de Minas"
mi38,c439,"São João do Manteninha"
