municipio,atracao
Acaiaca,"Estação Ferroviária"
Alvinópolis,"Igreja Matriz de Nossa Senhora do Rosário"
"Alvorada de Minas","Cachoeira da Campina"
"Alvorada de Minas","Igreja Matriz Santo Antônio"
"Alvorada de Minas","Mirante da Escadinha"
"Barão de Cocais","Cachoeira Cocais"
"Barão de Cocais","Cachoeira da Cambota"
"Barão de Cocais","Cruzeiro das Almas"
"Barão de Cocais","Santuário de São João Batista"
"Bela Vista de Minas","Cachoeira do Taquaril"
"Bom Jesus do Amparo","Igreja Matriz Bom Jesus do Amparo"
"Catas Altas","Aqueduto Bicame de Pedra"
"Catas Altas","Banho do Belchior"
"Catas Altas","Capela Santa Quitéria"
"Catas Altas","Caraça Bier Fest - Catas Altas"
"Catas Altas","Igreja de Nossa Senhora do Rosário"
"Catas Altas","Igreja Matriz de Nossa Senhora da Conceição"
"Catas Altas","Pico de Catas Altas"
"Catas Altas","Pico do Baiano"
Cocais,"Fazenda da Estalagem"
Cocais,"Igreja de Nossa Senhora do Rosário"
Cocais,"Igreja de Sant'Anna"
Cocais,"Sitio Arqueológico Pedra Pintada"
Cocais,"Sobrado do Cartório"
"Conceição do Mato Dentro","Balneário Córrego do Baú"
"Conceição do Mato Dentro","Balneário  Piscina de Água Quente"
"Conceição do Mato Dentro","Cachoeira do Tabuleiro"
"Conceição do Mato Dentro","Cachoeira Rabo de Cavalo"
"Conceição do Mato Dentro","Cachoeira Três Barras"
"Conceição do Mato Dentro","Fubá Suado - Conceição do Mato Dentro"
"Conceição do Mato Dentro","Igreja Matriz de Nossa Senhora da Aparecida"
"Conceição do Mato Dentro","Igreja Matriz de Nossa Senhora da Conceição"
"Congonhas do Norte","Cachoeira da Barragem (do Levi)"
"Couto de Magalhães de Minas","Água Santa"
"Couto de Magalhães de Minas","Cachoeira da Fábrica"
"Couto de Magalhães de Minas","Cachoeira dos Vaqueiros"
"Couto de Magalhães de Minas","Cachoeira do Tomé"
"Couto de Magalhães de Minas","Capela Senhor de Bom Jesus de Matozinhos"
"Couto de Magalhães de Minas","Igreja Nossa Senhora da Conceição"
"Couto de Magalhães de Minas","Pinturas Rupestres"
Datas,"Igreja Matriz do Divino Espírito Santo"
Datas,"Lapa Pintada"
Datas,"Morango - Datas"
Diamantina,"Cachoeira das Fadas"
Diamantina,"Cachoeira da Toca"
Diamantina,"Cachoeira dos Cristais"
Diamantina,"Cachoeira dos Remédios"
Diamantina,"Cachoeira do Telésforo"
Diamantina,"Caminho dos Escravos"
Diamantina,"Capela Imperial de Nossa Senhora do Amparo"
Diamantina,"Casa da Chica da Silva"
"Dom Joaquim","APA Gameleira"
"Dom Joaquim","Complexo Turístico da Barragem"
"Dores de Guanhães","Cachoeira da Guarda"
"Dores de Guanhães","Cachoeira do Sabiá"
"Felício dos Santos","Cachoeira do Palmito"
"Felício dos Santos","Igreja Dona Izabel"
"Felício dos Santos","Igreja Sagrado Coração de Jesus"
"Felício dos Santos","Lajeado do Noronha"
Gouveia,"Ampar Barão Capivara"
Gouveia,"Cachoeira Capivara"
Gouveia,"Cachoeira do Cuiabá"
Gouveia,"Cachoeira Engenho"
Gouveia,"Igreja Matriz de Santo Antônio"
Gouveia,"Igreja Nossa Senhora das Dores"
Gouveia,"Rio Capivara"
Gouveia,"Serra do Pasmarra"
Guanhães,"Casa de Cultura Laet Berto"
Guanhães,"Igreja Matriz de São Miguel e Almas"
Guanhães,"Parque Estadual Serra da Candonga"
Ipoema,"Cachoeira Alta"
Ipoema,"Cachoeira do Meio"
Ipoema,"Cachoeira do Patrocínio Amaro"
Ipoema,"Igreja de Nossa Senhora da Conceição"
Ipoema,"Mirante Morro Redondo"
Ipoema,"Museu do Tropeiro - Ipoema"
Ipoema,"Parque Estadual Mata do Limoeiro"
Itabira,"Capela de São José"
Itabira,"Igreja Nossa Senhora do Rosário dos Pretos"
Itabira,"Memorial Carlos Drummond de Andrade"
Itabira,"Pico do Amor"
Itabira,"Reserva da Biosfera da Serra do Espinhaço"
"Itambé do Mato Dentro","Cachoeira das Crioulas"
"Itambé do Mato Dentro","Cachoeira da Serenata"
"Itambé do Mato Dentro","Cachoeira da Vitória"
"Itambé do Mato Dentro","Cachoeira do Funil"
"Itambé do Mato Dentro","Cachoeira do Lúcio"
"Itambé do Mato Dentro","Cânion da Serenata"
"Itambé do Mato Dentro","Festival da Banana - Itambé do Mato Dentro"
"Itambé do Mato Dentro","Igreja Matriz Nossa Senhora das Oliveiras"
Jaboticatubas,"Cachoeira do Sr. Dimas"
Jaboticatubas,"Fazenda do Cipó"
Jaboticatubas,"Igreja Matriz Nossa Senhora da Conceição"
Jaboticatubas,"Igreja Matriz Nossa Senhora do Rosário"
Jaboticatubas,"Pequi - Jaboticatubas"
Jaboticatubas,"Serra do Bené"
"Lagoa Santa","Gruta da Lapinha"
"Lagoa Santa","Lagoa do Sumidouro"
"Lapinha da Serra","Vale do Soberbo"
Mariana,"Cachoeira do Brumado"
Mariana,"Cachoeira Matadouro"
Mariana,"Capela de Sant'Anna"
Mariana,"Catedral da Sé"
Mariana,"Estação Ferroviária"
Mariana,"Igreja Nossa Senhora da Boa Morte"
Mariana,"Igreja Nossa Senhora das Mercês"
Mariana,"Igreja Nossa Senhora do Carmo"
"Milho Verde","Cachoeira do Carijó"
"Milho Verde","Cachoeira do Moinho"
"Milho Verde","Chafariz da Goiabeira"
"Milho Verde","Igreja do Rosário"
"Milho Verde","Rio Jequitinhonha"
Monjolos,"Cachoeira do Bueno"
"Morro do Pilar","Cachoeira das Pedras"
"Morro do Pilar","Cachoeira do Lageado"
"Morro do Pilar","Cachoeira do Pica Pau"
"Morro do Pilar","Cachoeira do Tombo"
"Morro do Pilar","Igreja do Canga"
"Morro do Pilar","Monumento Intendente Câmara"
"Morro do Pilar","Óleo de Indaiá - Morro do Pilar"
"Morro do Pilar","Quintais e Quitandas - Morro do Pilar"
"Ouro Preto","Cachaças - Ouro Preto"
"Ouro Preto","Capela de Nossa Senhora da Piedade"
"Ouro Preto","Capela de Nossa Senhora das Dores do Monte Calvário"
"Ouro Preto","Capela de Santana"
"Ouro Preto","Capela de São João Batista"
"Ouro Preto","Casa da Câmara"
"Ouro Preto","Casa de Thomaz Antônio Gonzaga"
"Ouro Preto","Casa dos Contos"
Passabém,"Igreja Matriz de São José"
"Ponte Nova","Cachoeira do Vau Açu"
"Ponte Nova","Carne de porco - Ponte Nova"
"Ponte Nova","Queijos - Ponte Nova"
"Presidente Kubitschek","Cachoeira da Paca"
"Presidente Kubitschek","Cachoeira do Guaribas"
"Presidente Kubitschek","Cachoeira do Laércio"
"Presidente Kubitschek","Cachoeira do Tamanduá"
"Presidente Kubitschek","Cânion do Funil"
"Presidente Kubitschek","Capela Nossa Senhora de Fátima"
"Presidente Kubitschek","Cascata Ananias"
"Presidente Kubitschek","Igreja de Nossa Senhora das Dores"
Sabinópolis,"Igreja de Nossa Senhora do Rosário"
Sabinópolis,"Igreja Matriz de São Sebastião"
"Santa Bárbara","Antiga Estação"
"Santa Bárbara","Capela da Arquiconfraria do Cordão de São Francisco"
"Santa Bárbara","Casa de Cultura de Santa Bárbara"
"Santa Bárbara","Casa do Mel de Santa Bárbara"
"Santa Bárbara","Igreja de Nossa Senhora das Mercês"
"Santa Bárbara","Igreja de Santo Amaro"
"Santa Bárbara","Igreja Matriz de Santo Antonio"
"Santa Bárbara","Igreja Nossa Senhora do Rosário"
"Santa Luzia","Capela Nossa Senhora do Bonfim"
"Santa Luzia","Estação Ferroviária"
"Santa Luzia","Igreja de Nossa Senhora do Rosário"
"Santa Luzia","Igreja Matriz de Santa Luzia"
"Santa Luzia","Mosteiro de Macaúbas"
"Santa Luzia","Museu Histórico Aurélio Dolabela"
